Unknown,seat of a first-order administrative division,206570.0
Baghdad,capital of a political entity,7216000.0
Karachi,seat of a first-order administrative division,11624219.0
Lima,capital of a political entity,7737002.0
Mosul,seat of a first-order administrative division,1739800.0
Belfast,seat of a first-order administrative division,274770.0
Santiago,capital of a political entity,4837295.0
Mogadishu,capital of a political entity,2587183.0
San Salvador,capital of a political entity,525990.0
Istanbul,seat of a first-order administrative division,14804116.0
Athens,capital of a political entity,664046.0
Bogota,capital of a political entity,7674366.0
Kirkuk,seat of a first-order administrative division,601433.0
Beirut,capital of a political entity,1916100.0
Medellin,seat of a first-order administrative division,1999979.0
Benghazi,seat of a first-order administrative division,650629.0
Peshawar,seat of a first-order administrative division,1218773.0
Quetta,seat of a first-order administrative division,733675.0
Guatemala City,capital of a political entity,994938.0
Baqubah,seat of a first-order administrative division,152550.0
Kabul,capital of a political entity,3043532.0
Srinagar,seat of a first-order administrative division,975857.0
Jerusalem,section of populated place,400000.0
Paris,capital of a political entity,2138551.0
Fallujah,seat of a second-order administrative division,190159.0
Tripoli,capital of a political entity,1150989.0
Dhaka,capital of a political entity,10356500.0
Rome,capital of a political entity,2318895.0
Arish,seat of a first-order administrative division,128855.0
Ramadi,seat of a first-order administrative division,274539.0
Manila,capital of a political entity,1600000.0
Aleppo,seat of a first-order administrative division,1602264.0
Sanaa,capital of a political entity,1937451.0
Buenos Aires,capital of a political entity,13076300.0
New York City,populated place,8175133.0
Ayacucho,seat of a first-order administrative division,140033.0
Maiduguri,seat of a first-order administrative division,1112449.0
Imphal,seat of a first-order administrative division,223523.0
Tikrit,seat of a first-order administrative division,42477.0
Madrid,capital of a political entity,3255944.0
Algiers,capital of a political entity,1977663.0
London,capital of a political entity,7556900.0
Damascus,capital of a political entity,1569394.0
Londonderry,region,233500.0
Kandahar,seat of a first-order administrative division,391190.0
Gaza,seat of a first-order administrative division,410000.0
Bilbao,seat of a second-order administrative division,354860.0
Abu Ghraib,seat of a second-order administrative division,900000.0
Colombo,capital of a political entity,648034.0
Cali,seat of a first-order administrative division,2392877.0
Ajaccio,seat of a first-order administrative division,54364.0
Ankara,capital of a political entity,3517182.0
Aden,seat of a first-order administrative division,550602.0
Tuz Khormato,,
Tehran,capital of a political entity,7153309.0
Rafah,populated place,126305.0
Donostia-San Sebastian,seat of a second-order administrative division,185357.0
Samarra,second-order administrative division,0.0
Jalalabad,seat of a first-order administrative division,200331.0
Sheikh Zuweid,,
Madain,populated place,0.0
Johannesburg,seat of a first-order administrative division,2026469.0
Taizz,seat of a first-order administrative division,615222.0
Baiji,second-order administrative division,0.0
Bujumbura,capital of a political entity,331700.0
Lahore,seat of a first-order administrative division,6310888.0
Bastia,seat of a second-order administrative division,41001.0
Barcelona,seat of a first-order administrative division,1621537.0
Muqdadiyah,seat of a second-order administrative division,50698.0
Bangkok,capital of a political entity,5104476.0
Tarmiyah,second-order administrative division,0.0
Grozny,seat of a first-order administrative division,226100.0
Cairo,capital of a political entity,7734614.0
Basra,seat of a first-order administrative division,2600000.0
Taji,second-order administrative division,0.0
Mahmudiyah,second-order administrative division,0.0
Kismayo,seat of a first-order administrative division,234852.0
Milan,seat of a first-order administrative division,1236837.0
Hebron,populated place,160470.0
Managua,capital of a political entity,973087.0
Donetsk,seat of a first-order administrative division,1024700.0
Makhachkala,seat of a first-order administrative division,497959.0
Santa Ana,seat of a first-order administrative division,176661.0
Jaffna,seat of a first-order administrative division,169102.0
Lashkar Gah,seat of a first-order administrative division,43934.0
Ghazni,seat of a first-order administrative division,141000.0
Sidon,seat of a first-order administrative division,163554.0
San Miguel,seat of a first-order administrative division,161880.0
Khost,seat of a first-order administrative division,96123.0
Sirte,seat of a first-order administrative division,128123.0
La Paz,seat of government of a political entity,812799.0
Huancayo,seat of a first-order administrative division,376657.0
Bara,second-order administrative division,113.0
Tokyo,capital of a political entity,8336599.0
Yusufiyah,locality,0.0
Nablus,populated place,130326.0
Batticaloa,airport,0.0
Tegucigalpa,capital of a political entity,850848.0
Jamrud,populated place,0.0
Berlin,capital of a political entity,3426354.0
New Delhi,seat of a first-order administrative division,10927986.0
Zamboanga City,seat of a second-order administrative division,457623.0
Tel Aviv,seat of a first-order administrative division,432892.0
Karma,populated place,0.0
Cotabato City,populated place,679588.0
Baidoa,seat of a first-order administrative division,129839.0
Dera Bugti,second-order administrative division,250000.0
Islamabad,capital of a political entity,601600.0
Derna,second-order administrative division,0.0
Valparaiso,seat of a first-order administrative division,282448.0
Bannu,seat of a second-order administrative division,49008.0
Landi Kotal,populated place,2223.0
San Juan,capital of a political entity,418140.0
Hillah,seat of a first-order administrative division,289709.0
Soweto,populated place,1695047.0
Kunduz,seat of a first-order administrative division,161902.0
Turin,seat of a first-order administrative division,870456.0
Chittagong,seat of a first-order administrative division,3920222.0
Pamplona,seat of a first-order administrative division,198491.0
Trincomalee,seat of a first-order administrative division,108420.0
Mohmand district,second-order administrative division,0.0
Amritsar,populated place,1092450.0
Yala,seat of a first-order administrative division,93558.0
Moscow,capital of a political entity,10381222.0
Durban,seat of a second-order administrative division,3120282.0
Caracas,capital of a political entity,3000000.0
Kathmandu,capital of a political entity,1442271.0
Herat,seat of a first-order administrative division,272806.0
Karbala,seat of a first-order administrative division,434450.0
Nazran,populated place,164131.0
Kano,seat of a first-order administrative division,3626068.0
Hangu,populated place,208369.0
Nahrawan,canal,0.0
Tal Afar,second-order administrative division,0.0
Hyderabad,seat of a first-order administrative division,3597816.0
Armagh,seat of a second-order administrative division,14801.0
Diyarbakir,seat of a first-order administrative division,644763.0
Dera Ismail Khan,second-order administrative division,0.0
Concepcion,seat of a first-order administrative division,215413.0
Beledweyne,seat of a first-order administrative division,55410.0
Bajaur district,,
Dublin,capital of a political entity,1024027.0
Dawr district,second-order administrative division,0.0
Balad,airport,0.0
Port-au-Prince,capital of a political entity,1234742.0
